TypicalScenario,TypicalScenarioCN,RepresentativeDays,TotalObjective_Yuan,AnnualObjective_Yuan,GridEnergy_MWh,AnnualGridEnergy_MWh,GridPeak_MW,GridPeakValleyDiff_MW,GasEnergy_MWhth,AnnualGasEnergy_MWhth,CarbonEmission_tCO2,AnnualCarbonEmission_tCO2,CarbonQuota_tCO2,AnnualCarbonQuota_tCO2,CarbonSurplusBeforeTrade_tCO2,AnnualCarbonSurplusBeforeTrade_tCO2,CarbonBuyMarket_tCO2,AnnualCarbonBuyMarket_tCO2,CarbonSellMarket_tCO2,AnnualCarbonSellMarket_tCO2,CarbonTradeAbs_tCO2,AnnualCarbonTradeAbs_tCO2,CarbonUnusedAllowance_tCO2,AnnualCarbonUnusedAllowance_tCO2,RenewableAvailable_MWh,RenewableUse_MWh,RenewableUseRate_percent,RenewableCurtailment_MWh,AnnualRenewableCurtailment_MWh,RenewableCurtailmentRate_percent,H2Shortage_kg,AnnualH2Shortage_kg,HeatDump_MWh,StorageCharge_MWh,StorageDischarge_MWh,StorageSOCSwing_MWh,AvgMinimumVoltage_pu,GridVoltageDeviation_pu
Sunny_LowWind,晴天少风,85,25775.874039399,2190949.29334892,17.8080499698216,1513.68424743484,7.03780915334927,7.03780915334927,71.9467291561648,6115.47197827401,43.3207308475276,3682.26212203984,51.2701722565268,4357.96464180478,7.94944140899918,675.702519764931,0,0,7.94944140899924,675.702519764936,7.41232034849398,630.047229621988,-5.52518031327054e-14,-4.69640326627996e-12,102.159862899225,99.3099632129353,97.210352867152,2.84989968628974,242.241473334628,2.78964713284806,0,0,7.7715611723761e-16,17.8434847159897,16.1037449561807,5.28,0.960160828900955,0.0252769254773273
Sunny_LowWind,晴天少风,85,25776.3896363998,2190993.11909398,16.0097525883351,1360.82897000848,6.36762131666195,6.36762131666195,73.697520498827,6264.28924240029,41.9647412350366,3567.00300497811,51.2701722565268,4357.96464180478,9.30543102149011,790.96163682666,0,0,9.30543102156274,790.961636832833,7.09225476566277e-09,6.02841655081335e-07,4.32009983342141e-15,3.6720848584082e-13,102.159862899225,99.3099632129353,97.210352867152,2.84989968628973,242.241473334627,2.78964713284805,0,0,5.55111512312578e-16,17.102218089514,15.4347518257864,5.28,0.960171476545573,0.0252030004721182
Sunny_HighWind,晴天多风,60,24886.0023542828,1493160.14125697,14.7204126923897,883.22476154338,6.07121936789724,6.07121936789724,70.3433324187983,4220.5999451279,39.4492592993911,2366.95555796346,51.2701722565268,3076.21033539161,11.8209129571357,709.254777428142,0,0,11.8209129571358,709.254777428145,11.2837918966305,677.02751379783,-5.27506927028298e-14,-3.16504156216979e-12,111.000602817057,104.105102911555,93.7878716596998,6.89549990550242,413.729994330145,6.21212834030016,0,0,1.0547118733939e-15,20.0980828959178,18.1385198135658,5.28,0.9601606602856,0.0253705033611216
Sunny_HighWind,晴天多风,60,24894.3568461313,1493661.41076788,12.7925249489091,767.551496934545,5.19447504384445,5.19447504369481,72.2467465949928,4334.80479569957,38.0044107975275,2280.26464785165,51.2701722565268,3076.21033539161,13.2657614589992,795.945687539953,2.90393601010332e-08,1.74236160606199e-06,13.265761488061,795.945689283663,1.02489651364248e-10,6.14937908185488e-09,-2.2439735403168e-11,-1.34638412419008e-09,111.000602817057,104.105103982716,93.7878726247046,6.89549883434127,413.729930060476,6.21212737529536,4.33845637898998e-08,2.60307382739399e-06,9.50582024539237e-07,19.3286365444771,17.4440944815055,5.27999990081275,0.960228511599486,0.0253172325934432
Cloudy_MidWind,多云中风,100,26433.1878201412,2643318.78201412,15.2759302455612,1527.59302455612,6.0755586895388,6.0755586895388,76.3436473325414,7634.36473325414,42.0581463711279,4205.81463711279,51.2701722565268,5127.01722565268,9.21202588539884,921.202588539884,0,0,9.21202588539891,921.202588539891,7.9780580855305,797.80580855305,-6.48014975013211e-14,-6.48014975013211e-12,100.909638924597,97.7859898781568,96.9045087469052,3.12364904644047,312.364904644047,3.09549125309482,0,0,8.32667268468867e-16,15.8247796607597,14.2818636438356,5.28,0.960115685386675,0.025208507064668
Cloudy_MidWind,多云中风,100,26433.1883169759,2643318.83169759,15.2759302455612,1527.59302455612,6.07627018862607,6.07627018862607,76.3436473325414,7634.36473325414,42.0581463711279,4205.81463711279,51.2701722565268,5127.01722565268,9.21202588539885,921.202588539885,0,0,9.21202588539884,921.202588539884,3.55857504030365e-09,3.55857504030365e-07,8.41282599139959e-15,8.41282599139959e-13,100.909638924597,97.7859898781568,96.9045087469052,3.12364904644047,312.364904644047,3.09549125309482,0,0,7.7715611723761e-16,15.8247796607597,14.2818636438356,5.28,0.96018385488781,0.0252013358593307
Rainy_LowWind,阴天少风,80,28847.9059821331,2307832.47857065,17.5287208066731,1402.29766453385,6.90087516340899,6.90087516340899,82.7145338596563,6617.1627087725,46.6241570683579,3729.93256546863,51.2701722565268,4101.61378052214,4.64601518816891,371.681215053513,0,0,4.64601518816899,371.681215053519,4.65698510813001,372.558808650401,-8.13997758086771e-14,-6.51198206469417e-12,90.8186750321376,90.3004803640253,99.4294183790626,0.518194668112217,41.4555734489774,0.570581620937375,0,0,4.44089209850063e-16,17.0352595291253,15.3743217250356,5.28,0.960071072061041,0.0251834354433764
Rainy_LowWind,阴天少风,80,28848.069120693,2307845.52965544,17.5113128851497,1400.90503081197,6.87106986018422,6.87106986018422,82.7349775157123,6618.79820125699,46.6122011264372,3728.97609011497,51.2701722565268,4101.61378052214,4.65797113008959,372.637690407167,0,0,4.65797113007243,372.637690405795,1.45924926161249e-05,0.00116739940928999,9.77706804405898e-15,7.82165443524718e-13,90.8186750321376,90.3004803640253,99.4294183790626,0.518194668112217,41.4555734489774,0.570581620937375,0,0,-5.55111512312578e-17,16.9073949620385,15.2589239532398,5.28,0.960077524616174,0.025182217502727
Rainy_HighWind,阴天多风,40,29183.0476485391,1167321.90594156,14.6606736809833,586.426947239333,5.76168725194376,5.76168725194376,86.4972823002373,3459.89129200949,44.7931446493085,1791.72578597234,51.2701722565268,2050.80689026107,6.47702760721824,259.08110428873,0,0,6.47702760721834,259.081104288734,7.05015745102443,282.006298040977,-1.02318153949454e-13,-4.09272615797818e-12,92.0986230385779,90.2556946441051,97.998962054296,1.84292839447286,73.7171357789144,2.00103794570403,0,0,-1.11022302462516e-16,15.8727558987404,14.3251621986132,5.28,0.960010512997179,0.0252044484569454
Rainy_HighWind,阴天多风,40,29207.3265562797,1168293.06225119,13.8035781403881,552.143125615526,5.52200359397493,5.52200359397493,87.5503319194612,3502.01327677845,44.2200464585095,1768.80185834038,51.2701722565268,2050.80689026107,7.05012579801729,282.005031920692,0,0,7.05012579801768,282.005031920707,3.1653007011543e-05,0.00126612028046172,-1.13686837721616e-15,-4.54747350886464e-14,92.0986230385779,90.2556946441051,97.998962054296,1.84292839447286,73.7171357789144,2.00103794570403,0,0,-1.0547118733939e-15,16.1329718681121,14.5600071109712,5.28,0.960056708622343,0.025132123366005
